"","set","composer","albumID","pieceID","key","chroma","mode","pitchHeight","arPerf","rms","participant","valence","arousal","condition","expID"
"1","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"12",3,28,"deadpan","137"
"2","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"12",4,55,"deadpan","137"
"3","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"13",4,90,"deadpan","137"
"4","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"13",6,39,"deadpan","137"
"5","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"14",2,65,"deadpan","137"
"6","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"14",7,86,"deadpan","137"
"7","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"15",2,43,"deadpan","137"
"8","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"15",6,57,"deadpan","137"
"9","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"16",4,7,"deadpan","137"
"10","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"16",3,55,"deadpan","137"
"11","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"17",2,19,"deadpan","137"
"12","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"17",3,65,"deadpan","137"
"13","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"18",2,55,"deadpan","137"
"14","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"18",4,38,"deadpan","137"
"15","1","chopin","chopinAshkenazy1992Deadpan","m0","c","0","minor",33.6723284442116,0.733487365680126,-25.9,"19",2,1,"deadpan","137"
"16","1","chopin","chopinAshkenazy1992Deadpan","M0","C","0","Major",40.8522727272727,5.82382916767775,-24.6,"19",3,63,"deadpan","137"
